T_eval,Accuracy (%),Latency (s/sample)
5,9.82,6.34124755859375e-05
10,70.96000000000001,0.00010569136142730712
20,78.55,0.00014781467914581298
30,78.88,0.00020415096282958985
40,79.17,0.00023715693950653076
50,79.17999999999999,0.0002818965196609497
60,79.28,0.00033344383239746096
80,79.27,0.000430502462387085
100,79.27,0.0005516472101211548
130,79.25,0.0006868680238723755
210,79.28,0.0009021075487136841
