T_eval,Accuracy (%),Latency (s/sample)
5,62.01,-0.00022513689994812012
10,89.01,4.1310763359069826e-05
20,94.91000000000001,5.922403335571289e-05
30,95.52000000000001,6.661744117736816e-05
50,95.7,8.833394050598144e-05
80,96.04,0.00012409858703613282
130,96.16,0.00017768104076385497
210,96.28,0.00027582812309265135
340,96.33,0.0004167410850524902
550,96.14,0.0006574291706085205
890,96.2,0.0010339391469955444
1440,96.36,0.0014041487216949462
