T_eval,Accuracy (%),Latency (s/sample)
5,76.94,4.015321731567383e-05
10,91.86,5.1144552230834964e-05
20,95.3,6.604173183441162e-05
30,95.45,6.876537799835206e-05
50,95.83,9.14273738861084e-05
80,96.16,0.00013632602691650392
130,96.12,0.00019210765361785887
210,96.32,0.00029627695083618165
340,96.41,0.00044792907238006593
550,96.54,0.0007397422075271607
890,96.3,0.00091695077419281
1440,96.24000000000001,0.0018166857719421386
