T_eval,Accuracy (%),Latency (s/sample)
5,44.5,4.5602154731750485e-05
10,57.830000000000005,5.8159995079040526e-05
20,62.970000000000006,-8.698101043701171e-05
30,64.2,0.00011368961334228515
40,64.7,0.0001400726079940796
50,65.02,0.0001636028528213501
60,65.01,0.00018875126838684082
80,65.4,0.00024742469787597657
100,65.09,0.0003140758752822876
130,63.83,0.0003811906099319458
210,50.3,0.0005895570278167724
