T_eval,Accuracy (%),Latency (s/sample)
5,83.05,4.388828277587891e-05
10,93.82000000000001,4.8183250427246095e-05
20,95.58,6.916694641113281e-05
30,95.67999999999999,7.598035335540772e-05
50,96.08,0.00012065775394439698
80,96.66,0.0001292733907699585
130,96.48,0.00019808950424194337
210,96.41,0.0003027452707290649
340,96.43,0.00045437369346618654
550,96.34,0.00045707783699035643
